WellNo,County,CoName,Hole,SideTrck,Completion,Well_Typ,Field,Wl_Status,Well_Nm,town,Prod Form
0,Chautauqua,"Empire Energy E & P, LLC",11074,00,00,Oil,Lakeshore,AC,Wilcox 1,Pomfret,Medina
0,Steuben,Home Gas Company,00332,00,00,DW,Not Applicable,UL,Canfield 1,Wayne,Not Applicable
0,Chautauqua,"Gustafson, Alan",17715,00,00,Oil,Lakeshore,AC,Piazza 3,Gerry,Medina
0,Chautauqua,"Empire Energy E & P, LLC",19110,00,00,Oil,Lakeshore,AC,"Caflisch, E 1-I",Clymer,Medina
0,Yates,Eastern States Gas,00429,00,00,DW,Not Applicable,PA,Millard 1,Barrington,Not Applicable
0,Cayuga,Minard Run Oil Company,20467,00,00,Oil,West Auburn,AC,Fabian Unit 685-5,Springport,Queenston
0,Chautauqua,"R.C. Southwell Oil, LLC",14279,00,00,OD,Busti,AC,Peereboom 16,Busti,Glade
0,Allegany,Pine Oil Co.,65709,00,00,IW,Richburg,IN,Pine Oil 122,Genesee,Richburg
0,Allegany,Moore Producing Co.,69524,00,00,IW,Not Applicable,UL,Curtis Farm 653(G),Bolivar,Not Applicable
0,Erie,"Weil Resources, Inc.",13582,00,00,Oil,Lakeview,AC,Mann 3,Evans,Medina
0,Allegany,Allegany Yankee Holdings LTD,65730,00,00,OD,Richburg,PA,Elliot 2,Alma,Richburg
0,Chautauqua,"Chautauqua Energy, Inc.",13793,00,00,Oil,Lakeshore,NR,Krystofik,Sheridan,Medina
0,Chautauqua,PPP Future Development Inc.,18355,00,00,Oil,Lakeshore,AC,Searscrest 2,Poland,Medina
0,Chautauqua,"Stedman Energy, Inc.",16237,00,00,Oil,Lakeshore,AC,NYSRA 6-3,Stockton,Medina
0,Cattaraugus,Unknown,67872,00,00,NL,Not Applicable,UM,Congress 2,Hinsdale,Not Applicable
0,Allegany,"Lane Oil Company, LLC",66207,00,00,OD,Ford's Brook,AC,Smith 020,Alma,Richburg
0,Allegany,Pennzoil Products Co.,69478,00,00,IW,Not Applicable,UL,Ballard 100,Bolivar,Not Applicable
0,Onondaga,Meridian Gas Co.,02401,00,00,NL,Not Applicable,PA,Pendergast S,Lysander,Not Applicable
0,Allegany,"Sam Koehler Enterprises, Inc.",68662,00,00,OD,Fulmer Valley,IN,Perkins 08,Wellsville,Fulmer Valley
0,Chautauqua,"Empire Energy E & P, LLC",20788,00,00,Oil,Lakeshore,AC,"Brant, E 2",Ellington,Medina
0,Erie,Town of West Seneca,12641,00,00,Oil,West Seneca,AC,West Seneca,West Seneca,Medina
0,Allegany,"C.O.G. Development & Resources, Inc.",65266,00,00,OD,Richburg,IN,Meadowbank ma11,Bolivar,Richburg
0,Chautauqua,"Empire Energy E & P, LLC",15814,00,00,Oil,Lakeshore,AC,"Breads,D 1",Chautauqua,Medina
0,Allegany,"Horncastle, Bruce R.",65851,00,00,OD,Richburg,PA,McDermott ab26,Bolivar,Richburg
0,Cattaraugus,"Shultz, Todd W.",19184,00,00,OD,Chipmunk,AC,Shultz 16,Carrollton,Chipmunk
0,Erie,"Empire Energy E & P, LLC",13099,00,00,Oil,Alden-Lancaster,AC,Lippert 1401,Marilla,Grimsby
0,Chautauqua,"Empire Energy E & P, LLC",10176,00,00,Oil,Lakeshore,AC,Northrop Rollin 1,Ripley,Medina
0,Erie,"Empire Energy E & P, LLC",19209,00,00,Oil,Concord,AC,"Booth, L 1",Concord,Medina
0,Cattaraugus,"Empire Energy E & P, LLC",18514,00,00,Oil,Lakeshore,AC,J Salisbury 2,Otto,Medina
0,Chautauqua,"Empire Energy E & P, LLC",05514,00,00,OD,Busti,SI,Ivan E Johnson 2,Busti,Glade
0,Erie,NY Gas & Elec.,03217,00,00,Oil,Alden-Lancaster,UM,Reinhart,Lancaster,Medina
0,Allegany,"Saint John Exploration & Production, Inc.",63966,00,00,OD,Richburg,IN,Trio Farm 59,Bolivar,Richburg
0,Livingston,PPP Future Development Inc.,13870,00,00,Oil,Groveland,AC,Wadsworth 1,Groveland,Medina
0,Cattaraugus,"Shultz, Todd W.",16714,00,00,OD,Chipmunk,AC,Shultz 8,Carrollton,Chipmunk & Bradford 2nd
0,Ontario,"Hannold, Allan & Yolanda",12041,00,00,Oil,Vincent,AC,Thomas P 1,Bristol,Medina
0,Erie,"Empire Energy E & P, LLC",22368,00,00,Oil,Elma,AC,"Gautheir, J 1",Elma,Grimsby
0,Chautauqua,"K. Petroleum, Inc.",19845,00,00,Oil,Lakeshore,IN,Milliman/Seawall 296,Ellery,Medina
0,Cattaraugus,Frank H. Stephan Oil Group,14212,00,00,OD,Bradford,PA,229 Geiger,Allegany,Bradford
0,Cattaraugus,M. J. McCaffery Oil Co.,62227,00,00,OD,Chipmunk,PA,Roggenbaum 18,Carrollton,Chipmunk
0,Chautauqua,"Curtis & Son Oil, Inc.",05051,00,00,OD,Busti,PA,Blodgett 1,Busti,Glade
0,Allegany,Moose Oil Co.,61087,00,00,OD,Richburg,PA,Tullar 07,Bolivar,Waugh & Porter
0,Cattaraugus,"East Resources, Inc.",12252,00,00,IW,Bradford,PA,Enterprise Transit St 032,Allegany,"Chipmunk, Bradford 2nd & 3rd"
0,Allegany,Ashe Oil Company,69900,00,00,OD,Richburg,PA,Central 74,Scio,Richburg
0,Steuben,"Clancy, I.P.",04470,00,00,OD,Beech Hill-Independence,UL,McGraw 1,West Union,Fulmer Valley
0,Cattaraugus,"Kellner, Christian F.",64658,00,00,OD,Bradford,IN,Utter Purchase 26,Allegany,Bradford
0,Allegany,Cunningham Natural Gas Corp.,00264,00,00,Oil,State Line,PA,Regan C 1,Willing,Oriskany
0,Chautauqua,"Decker, James K. & Tiffany J.",13674,00,00,OD,Busti,AC,Boswell 11,Busti,Glade
0,Chautauqua,"Empire Energy E & P, LLC",11429,00,00,Oil,Lakeshore,AC,Riedesel 216-1,Westfield,Medina
0,Wyoming,"Texas Brine Company, LLC",23355,00,00,BR,Wyoming Village,PA,Texas Brine 47,Middlebury,Not Applicable
0,Allegany,"Dust Bowl Oil Company, Inc.",66634,00,00,OD,Richburg,AC,Jacob Jordan Farm 82,Wirt,Richburg
0,Cattaraugus,"Masoodi Mini Ventures, Inc.",22272,00,00,Oil,Lakeshore,PA,Ruckh 1,Leon,Medina
0,Chautauqua,"Empire Energy E & P, LLC",15341,00,00,Oil,Lakeshore,AC,"Dinsbier,C 1",Chautauqua,Medina
0,Steuben,"Hess, Jay E.",15958,00,00,OD,Beech Hill-Independence,AC,Givens 2,West Union,Fulmer Valley
0,Erie,"Cotton Well Drilling Company, Inc.",17882,00,00,Oil,Brant-Eden,AC,Sessana 1,Eden,Medina
0,Allegany,James V. Joyce/DBA Pipeline Co.,60810,00,00,Oil,Andover,UL,Livermore 7,Andover,Penny
0,Erie,Unknown,02156,00,00,Oil,Alden-Lancaster,UN,Cotton G G 1,Elma,Medina
0,Cattaraugus,Cal Ban Corp.,19881,00,00,OD,Five Mile,NR,Munson Cbm4,Allegany,"Chipmunk, Bradford 2nd & 3rd"
0,Erie,"Pan Energy Company, Inc.",20744,00,00,Oil,Orchard Park-Hamburg,IN,Columbo 2,Hamburg,Medina
0,Livingston,"Hull, Gerald Walter",13867,00,00,Oil,Leicester,AC,Hull 1,Leicester,Medina
0,Cattaraugus,"Reyrock Oil, LLC",65932,00,00,OD,Chipmunk,AC,Lauser 4,Allegany,Chipmunk
0,Allegany,"Otis Eastern Service, Inc.",69950,00,00,OD,Fulmer Valley,PA,Fanton P2 (1113),Wellsville,Fulmer Valley
0,Cattaraugus,BDH Oil Inc.,65522,00,00,OD,Chipmunk,UL,Nichols Run Ho-10,Allegany,Chipmunk & Bradford 2nd
0,Cattaraugus,Case Brothers Inc.,23483,00,00,OD,Bradford,AC,Wahl 19,Carrollton,Bradford Second
0,Allegany,Case Brothers Inc.,16647,00,00,OD,Richburg,IN,Altimus-Willetts K-13,Genesee,Richburg
0,Cattaraugus,Cal Ban Corp.,08751,00,00,OD,Five Mile,NR,Cash Kinley 11,Allegany,Bradford
0,Cattaraugus,"Bucher, Charles J",60558,00,00,OD,Four Mile,PA,Bucher & Johnson Fee 9,Allegany,Bradford
0,Erie,Iroquois Gas Corp.,03766,00,00,Oil,West Seneca,IN,Deenfreund L 1,Orchard Park,Medina
0,Steuben,Corning Glass Works,00058,00,00,DW,Not Applicable,PA,Alger 1,Corning,Not Applicable
0,Cattaraugus,Perkins & Perkins Oil Co. Inc.,64096,00,00,OD,Four Mile,AC,Minderler 1,Allegany,Bradford Third
0,Cayuga,"OI Auburn, Inc.",13606,00,00,GE,West Auburn,AC,Delaney Tom & Mary T120-6,Throop,Queenston
0,Genesee,"Republic Light, Heat & Power",03095,00,00,Oil,Danley Corners,UM,Chick 1,Darien,Onondaga
0,Cattaraugus,SWEPI LP,13032,00,00,OD,Bradford,PA,Rumsey Devonian 372,Allegany,Bradford
0,Cattaraugus,"Carls, Kevin D",64893,00,00,IW,Bradford,PA,Wilson 7,Allegany,Bradford Third
0,Chautauqua,"Stedman Energy, Inc.",15350,00,00,Oil,Lakeshore,AC,"Anderson, L Ae-74",Busti,Medina
0,Chautauqua,"Stedman Energy, Inc.",15350,00,00,Oil,Lakeshore,AC,"Anderson, L Ae-74",Busti,Medina
0,Chautauqua,"Empire Energy E & P, LLC",12216,00,00,Oil,Lakeshore,AC,Leone 1362,Pomfret,Medina
0,Ontario,Swan Oil,04119,00,00,DW,Not Applicable,UL,Mead Donald 3,East Bloomfield,Not Applicable
0,Chautauqua,Lenape Resources LLC,17126,00,00,Oil,Lakeshore,AC,Langless 1,Cherry Creek,Medina
0,Chautauqua,"Burgard, Harold H.",18420,00,00,Oil,Lakeshore,AC,Harold Burgard Unit1,Clymer,Medina
0,Genesee,"Alden Aurora Gas Company, Inc.",11777,00,00,Oil,Alden-Lancaster,AC,C. Wozniak 1,Darien,Medina
0,Chautauqua,"Curtis & Son Oil, Inc.",09571,00,00,OD,Busti,AC,L. Crandall 21,Busti,Glade
0,Chautauqua,"Chautauqua Energy, Inc.",21140,00,00,Oil,Lakeshore,NR,Keith 1,Sherman,Medina
0,Chautauqua,"Shelex Drilling, Inc.",20163,00,00,Oil,Lakeshore,AC,Pringle 6499,North Harmony,Medina
0,Cattaraugus,Emerald Oil Company LLC,09601,00,00,OD,Farmersville,UL,Werth 1,Farmersville,Upper Devonian
0,Ontario,Ontario Syndicate,09097,00,00,DW,Not Applicable,UM,Van Haute,Gorham,Not Applicable
0,Chautauqua,"Chautauqua Energy, Inc.",21150,00,00,Oil,Lakeshore,NR,Judd 2,Sherman,Medina
0,Wyoming,IOE Acres V LLC,17036,00,00,Oil,Leicester,AC,Dueppengiesser 3,Perry,Medina
0,Allegany,"Smith, Nancy E.",18574,00,00,Oil,Farmersville,PA,Smith 1,Rushford,Upper Devonian
0,Allegany,"Saint John Exploration & Production, Inc.",63911,00,00,Oil,Richburg,IN,Trio Farm 67xg,Bolivar,Richburg
0,Erie,"Reserve Gas Company, Inc.",04527,00,00,Oil,Alden-Lancaster,IN,Jurek Walter 1,Alden,Medina
0,Cattaraugus,"Synergy Oil & Gas, Inc.",11374,00,00,OD,Bradford,PA,Clark No 01,Carrollton,"Chipmunk, Bradford 2nd & 3rd"
0,Chautauqua,"Empire Energy E & P, LLC",12077,00,00,Oil,Lakeshore,SI,Will 1303,Hanover,Medina
0,Cattaraugus,"Dieteman, Peter H.",67355,00,00,OD,Chipmunk,NR,Closser 31,Carrollton,Chipmunk
0,Erie,"Empire Energy E & P, LLC",15916,00,00,Oil,Concord,AC,Carr2,Concord,Medina
0,Chautauqua,PPP Future Development Inc.,11353,00,00,Oil,Lakeshore,AC,McEwan 263,Portland,Medina
0,Cattaraugus,"McCracken Oil & Gas, LLC",22371,00,00,OD,Bradford,AC,Goodman w16,Carrollton,Bradford
0,Genesee,United States Gypsum Company,15328,00,00,Oil,Huron Creek,AC,Schunk 2a,Darien,Medina
0,Chautauqua,"Empire Energy E & P, LLC",16621,00,00,Oil,Lakeshore,AC,"Nordland,J 3",Kiantone,Medina
0,Chautauqua,PPP Future Development Inc.,17933,00,00,Oil,Lakeshore,AC,Christopherson 1,Ellicott,Medina
0,Cattaraugus,Cal Ban Corp.,19206,00,00,OD,Five Mile,NR,Cal Ban 48,Allegany,"Chipmunk, Bradford 2nd & 3rd"
0,Chautauqua,"Empire Energy E & P, LLC",23273,00,00,Oil,Lakeshore,AC,Goldberg J Unit 2-L,Clymer,Medina
0,Chautauqua,PPP Future Development Inc.,18962,00,00,OD,Gerry-Charlotte,IN,Prince Unit 2,Gerry,Onondaga
0,Cattaraugus,"Woodruff, Michael C.",66569,00,00,OD,Bradford,AC,McDivit c8,Olean,Bradford
0,Wyoming,"Mesa Energy, Inc.",16330,00,00,Oil,Java,PB,Reisdorf 1,Java,Grimsby
0,Cattaraugus,Greenridge Oil Company LLC,22649,00,00,Oil,Lakeshore,AC,Gardner 2,Leon,Whirlpool
0,Chautauqua,"Empire Energy E & P, LLC",18570,00,00,Oil,Lakeshore,AC,Hugg 678 1,Ripley,Medina
0,Chautauqua,"Empire Energy E & P, LLC",18570,00,00,Oil,Lakeshore,AC,Hugg 678 1,Ripley,Medina
0,Allegany,"Sam Koehler Enterprises, Inc.",10473,00,00,OD,Richburg,AC,A-H Lot 80-2-80,Alma,Richburg
0,Erie,"Krause, Michael J. & Tracy A.",02667,00,00,Oil,West Seneca,AC,Kabel 1,Orchard Park,Medina
0,Allegany,Helmhold Oil Incorporated,55211,00,00,OD,Fulmer Valley,NR,Roeske Lot 75 34,Wellsville,Fulmer Valley
0,Cattaraugus,South Penn Oil Co.,07434,00,00,Oil,Rice Brook,UN,Allegany State Park 134,Carrollton,Rice Brook
0,Steuben,Iroquois Gas Corp.,04610,00,00,DW,Not Applicable,PA,Cartwright 2293,Greenwood,Not Applicable
0,Ontario,Eason Oil Co.,04394,00,00,DW,Not Applicable,UM,Huff D 1,West Bloomfield,Not Applicable
0,Erie,PPP Future Development Inc.,60313,00,00,Oil,Brant-Eden,AC,Goldsmith 248-I,Brant,Medina
0,Ontario,"Empire Energy E & P, LLC",20589,00,00,Oil,East Bloomfield,AC,Steele R&G (6798),East Bloomfield,Medina
0,Allegany,Moose Oil Co.,61035,00,00,OD,Richburg,UM,Polly Lot 19 6,Bolivar,Waugh & Porter
0,Allegany,Betsy Bug LTD,66327,00,00,OD,Richburg,PA,Bucher 5,Bolivar,Richburg
0,Allegany,"Alma Gas Company, Inc.",60356,00,00,Oil,Sharon,AC,Olmstead (Jones) 2117,Alma,Upper Devonian
0,Allegany,"Lane Oil Company, LLC",66234,00,00,IW,Ford's Brook,IN,Fassett w8,Alma,Richburg
0,Chautauqua,PPP Future Development Inc.,12231,00,00,Oil,Lakeshore,AC,Fisher 2,North Harmony,Medina
0,Schuyler,Holt Farm,00737,00,00,GW,Not Applicable,UM,Valois 1,Hector,Not Applicable
0,Herkimer,Millennium Natural Resource Development,04034,00,00,DW,Not Applicable,IN,Puskarenko 1,Stark,Not Applicable
0,Cayuga,Minard Run Oil Company,20654,00,00,Oil,West Auburn,AC,Delaney 1086-2,Fleming,Queenston
0,Chautauqua,"Empire Energy E & P, LLC",18661,00,00,Oil,Lakeshore,AC,"Davis, A 753",Charlotte,Medina
0,Allegany,"Schiralli, Bradley L.",63879,00,00,OD,Richburg,PA,Tapp 3,Bolivar,Richburg
0,Genesee,Alden Batavia Natural Gas Co.,02195,00,00,Oil,Pavilion,UL,Wilson 2,Pavilion,Medina
0,Cayuga,Minard Run Oil Company,21256,00,00,Oil,West Auburn,AC,O'Hara Farms 1114-1,Aurelius,Queenston
0,Cattaraugus,Frank H. Stephan Oil Group,09542,00,00,OD,Bradford,PA,220 Geiger,Allegany,Bradford
0,Chautauqua,"Stedman Energy, Inc.",14770,00,00,Oil,Lakeshore,AC,Balling 3156,North Harmony,Medina
0,Chautauqua,PPP Future Development Inc.,22088,00,00,Oil,Lakeshore,AC,Kvashay 1,North Harmony,Medina
0,Chautauqua,"Empire Energy E & P, LLC",15635,00,00,Oil,Lakeshore,AC,"Eskeli,W 1",Ellicott,Medina
0,Steuben,Landie Co.,00079,00,00,DW,Not Applicable,UL,Ackerson 1,Addison,Not Applicable
0,Wyoming,United States Gypsum Company,16343,00,00,Oil,Sheldon,AC,Hibsch-Kirsch 1,Sheldon,Medina
0,Cattaraugus,"McCracken Oil & Gas, LLC",22120,00,00,OD,Bradford,AC,Goodman w18,Carrollton,Bradford
0,Wayne,Unknown,00931,00,00,DW,Not Applicable,UM,Clyde Well,Galen,Not Applicable
0,Yates,Columbia Natural Resources LLC,22791,00,00,DW,Not Applicable,PM,Bauer 1 (623781),Barrington,Not Applicable
0,Cattaraugus,BDH Oil Inc.,64931,00,00,OD,Bradford,PA,James Lease 26,Olean,Bradford Third
0,Erie,Iroquois Gas Corp.,03621,00,00,Oil,West Seneca,PA,Allen & Burke 2 IGC-8,Hamburg,Medina
0,Livingston,PPP Future Development Inc.,13840,00,00,Oil,Silver Lake,AC,Sliker 1,Leicester,Medina
0,Madison,Minard Run Oil Company,21699,00,00,GW,Bradley Brook - Herkimer pool,AC,Beers 1,Lebanon,Herkimer
0,Seneca,Minard Run Oil Company,19622,00,00,Oil,Fayette-Waterloo,AC,Heitman 1 (4157),Varick,Queenston
0,Chautauqua,"Empire Energy E & P, LLC",22521,00,00,Oil,Lakeshore,AC,Brautigan F. 3,Clymer,Medina
0,Chautauqua,"Curtis & Son Oil, Inc.",09465,00,00,OD,Busti,AC,E Crandall 8,Busti,Glade
0,Chautauqua,U. S. Energy Development Corporation,03169,00,00,Oil,Lakeshore,PA,Ellis L C,Pomfret,Medina
0,Livingston,"Nouryon Salt, LLC",21602,00,00,MM,Not Applicable,PA,Well 9568,Leicester,Not Applicable
0,Wyoming,United States Gypsum Company,18231,00,00,Oil,Danley Corners,AC,Rupert 1,Bennington,Medina
0,Cattaraugus,Case Brothers Inc.,62852,00,00,OD,Bradford,PA,Rumsey So 150,Allegany,Bradford
0,Steuben,NYS Natural Gas Corp.,00295,00,00,DW,Not Applicable,UL,Cady 1,Troupsburg,Not Applicable
0,Chautauqua,Greenridge Oil Company LLC,18688,00,00,Oil,Lakeshore,AC,Walker 1,Ripley,Medina
0,Allegany,"Cabot, G.L.",60366,00,00,Oil,Sharon,UN,Murphy 1,Alma,Waugh & Porter
0,Chautauqua,"Empire Energy E & P, LLC",05552,00,00,OD,Busti,IN,Anderson 8,Busti,Glade
0,Niagara,Sadlo Lumber & Wood Prod,04063,00,00,DW,Not Applicable,UL,Fee 1,Pendleton,Not Applicable
0,Allegany,Francis Root Oil Company,68670,00,00,OD,Richburg,IN,White Farm f-2,Alma,Richburg
0,Steuben,"Yahn & Yahn, Inc.",11436,00,00,OD,Beech Hill-Independence,PA,Barney 014,West Union,Fulmer Valley
0,Allegany,"Collins, Dave",66143,00,00,OD,Richburg,IN,Vincent 8,Scio,Richburg
0,Allegany,AJ Oil And Gas Exploration Inc,65254,00,00,OD,Ford's Brook,IN,Ford's Brook fb16,Willing,Richburg
0,Erie,"Weil Resources, Inc.",22358,00,00,Oil,Lakeview,PA,Usa 1,Hamburg,Medina
0,Allegany,"Hogan Energy, Inc.",69838,00,00,OD,Clarksville,PA,Ferrington 14,Clarksville,Not Applicable
0,Cattaraugus,Perkins & Perkins Oil Co. Inc.,67766,00,00,OD,Four Mile,IN,Oak Hill 12,Allegany,Bradford Third
0,Allegany,Collins Oil Co.,60584,00,00,OD,Richburg,IN,Jones 8,Bolivar,Richburg
0,Allegany,"Lane Oil Company, LLC",66236,00,00,IW,Ford's Brook,IN,Fassett w6,Alma,Richburg
0,Chautauqua,"Empire Energy E & P, LLC",18567,00,00,Oil,Lakeshore,AC,Tanner 713-A,Mina,Medina
0,Chautauqua,"Empire Energy E & P, LLC",18567,00,00,Oil,Lakeshore,AC,Tanner 713-A,Mina,Medina
0,Allegany,Moose Oil Co.,61092,00,00,OD,Richburg,PA,Tullar 012,Bolivar,Waugh & Porter
0,Genesee,"Alden Aurora Gas Company, Inc.",15624,00,00,Oil,Alden-Lancaster,AC,Castano 1,Darien,Medina
0,Genesee,"Johnson, Mary C.",11545,00,00,Oil,Indian Falls,PA,Johnson 1,Batavia,Medina
0,Allegany,PPP Future Development Inc.,68683,00,00,OD,Richburg,PA,Daggett 185,Genesee,Richburg
0,Genesee,United States Gypsum Company,20480,00,00,Oil,Danley Corners,AC,"Stockschlaeder, F. 1",Darien,Medina
0,Cattaraugus,"Hemlock Oil & Gas Co., Inc.",14246,00,00,IW,Chipmunk,PA,Allegany Indian Reser 47,Carrollton,Chipmunk
0,Cattaraugus,Iroquois Gas Corp.,13427,00,00,OD,Not Applicable,IN,L. Angore (Bridges),Persia,Not Applicable
0,Erie,"Stedman Energy, Inc.",20104,00,00,Oil,East Aurora,AC,Martin 1,Aurora,Grimsby
0,Erie,"Pan Energy Company, Inc.",20913,00,00,Oil,Orchard Park-Hamburg,AC,Columbo 1,Hamburg,Medina
0,Cattaraugus,"Empire Energy E & P, LLC",17624,00,00,Oil,Lakeshore,AC,"Beaver, D 2",Conewango,Medina
0,Cattaraugus,"Dieteman, Peter H.",67362,00,00,OD,Chipmunk,NR,Closser 38,Carrollton,Chipmunk
0,Allegany,"Otis Eastern Service, Inc.",62726,00,00,OD,Fulmer Valley,PA,Ford-Wood 6,Andover,Penny & Fulmer Valley
0,Cattaraugus,Frank H. Stephan Oil Group,68154,00,00,OD,Bradford,PA,Geiger 212,Allegany,Bradford
0,Erie,Iroquois Gas Corp.,01612,00,00,Oil,North Collins,PA,None Specified,North Collins,Medina
0,Chautauqua,"Empire Energy E & P, LLC",11803,00,00,Oil,Lakeshore,AC,Burger 1277,Arkwright,Medina
0,Chautauqua,PPP Future Development Inc.,13209,00,00,Oil,Lakeshore,AC,Mancuso 1,Charlotte,Medina
0,Cattaraugus,Case Brothers Inc.,13929,00,00,OD,Bradford,AC,Moyer 06,Carrollton,Chipmunk
0,Cattaraugus,PPP Future Development Inc.,20369,00,00,Oil,Lakeshore,AC,Ross 1,Perrysburg,Medina
0,Cattaraugus,Cal Ban Corp.,20081,00,00,OD,Five Mile,NR,Munsoncbm 8,Allegany,"Chipmunk, Bradford 2nd & 3rd"
0,Erie,"Stedman Energy, Inc.",19747,00,00,Oil,North Collins,AC,Mammoser 8,North Collins,Medina
0,Allegany,Moore Producing Co.,69348,00,00,OD,Not Applicable,PA,Curtis Farm 27,Bolivar,Not Applicable
0,Cattaraugus,"Kellner, Christian F.",64659,00,00,OD,Bradford,IN,Utter Purchase 27,Allegany,Bradford
0,Chautauqua,PPP Future Development Inc.,15363,00,00,Oil,Lakeshore,AC,Busan 1,Ripley,Medina
0,Chautauqua,"Stedman Energy, Inc.",20173,00,00,GW,Gerry-Charlotte,AC,Edson 3,Charlotte,Medina
0,Chautauqua,"Stedman Energy, Inc.",20173,00,00,GW,Gerry-Charlotte,AC,Edson 3,Charlotte,Medina
0,Erie,Iroquois Gas Corp.,04908,00,00,Oil,Alden-Lancaster,PA,1275,Lancaster,Medina
0,Erie,"Carriero, John H. & Pamela A.",15687,00,00,Oil,Lakeview,AC,Carriero 1,Evans,Medina
0,Steuben,Nathan Petroleum Corporation,22913,00,00,OD,Beech Hill-Independence,AC,Edwards II 11,West Union,Fulmer Valley
0,Cattaraugus,"Empire Energy E & P, LLC",16413,00,00,Oil,Lakeshore,AC,Larimer & Norton 2,Persia,Medina
0,Chautauqua,PPP Future Development Inc.,15488,00,00,Oil,Lakeshore,AC,Rice Chaut. 1,Cherry Creek,Medina
0,Wyoming,United States Gypsum Company,16071,00,00,Oil,Sheldon,AC,"Hibsch, R. 1",Sheldon,Medina
0,Chautauqua,"Chautauqua Energy, Inc.",16893,00,00,Oil,Lakeshore,NR,Morris 1,Chautauqua,Medina
0,Allegany,"Simon of Bolivar Enterprises, Inc.",66296,00,00,OD,Richburg,AC,Wheeler 24 (P24),Bolivar,Richburg
0,Wyoming,Lenape Resources LLC,18263,00,00,Oil,Leicester,AC,"Shearing, D 182",Perry,Medina
0,Chautauqua,"Empire Energy E & P, LLC",17942,00,00,Oil,Lakeshore,AC,"Cobb,R 1",Poland,Medina
0,Wayne,Unknown,01009,00,00,GW,Not Applicable,UL,Wolcott Well,Wolcott,Trenton
0,Allegany,"O'Connor, James M.",66458,00,00,OD,Richburg,IN,Oconner 10,Genesee,Richburg
0,Allegany,"Saint John Exploration & Production, Inc.",67549,00,00,IW,Richburg,IN,Trio 40x,Bolivar,Richburg
0,Seneca,"Dearth, G. et al",00918,00,00,Oil,Geneva,UL,Dadson 1,Junius,Lockport
0,Cayuga,"Red Maple Acres, LLC",16844,00,00,GW,West Auburn,AC,Dunn 1,Scipio,Queenston
0,Genesee,Alden Batavia Natural Gas Co.,02164,00,00,Oil,Pavilion,UM,Christner 1,Bethany,Medina
0,Chautauqua,PPP Future Development Inc.,19085,00,00,Oil,Lakeshore,AC,Hornburg 3,Ellington,Medina
0,Erie,"Stedman Energy, Inc.",16300,00,00,Oil,Brant-Eden,AC,Rizzo 1,Eden,Grimsby
0,Cattaraugus,Frank H. Stephan Oil Group,68168,00,00,OD,Four Mile,PA,Nine Mile 9,Allegany,Bradford Third
0,Chautauqua,Little Iowa LLC,16592,00,00,Oil,Lakeshore,AC,Powers Lind 1,Gerry,Medina
0,Erie,Unknown,01560,00,00,Oil,Buffalo,UN,None Specified,Tonawanda City,Medina
0,Cattaraugus,SWEPI LP,12087,00,00,OD,Bradford,PA,Enterprise Transit St 83,Allegany,"Chipmunk, Bradford 2nd & 3rd"
0,Cattaraugus,"Alma Gas Company, Inc.",11397,00,00,OD,Olean,AC,Torrey 1,Olean,Chipmunk
0,Chautauqua,Greenridge Oil Company LLC,01464,00,00,Oil,Lakeshore,AC,Niehause J.M 2(Lincoln),Sheridan,Medina
0,Allegany,Leiderbach-French,03196,00,00,Oil,State Line,UN,Babcock 1,Willing,Oriskany
0,Cattaraugus,"McCracken Oil & Gas, LLC",66169,00,00,OD,Bradford,PA,Wasson 41 0-13,Allegany,Bradford
0,Allegany,"Industrial Patterns, Inc.",23422,00,00,Oil,Richburg,PA,Spencer 3,Genesee,Richburg-Waugh & Porter
0,Chautauqua,"Empire Energy E & P, LLC",16613,00,00,Oil,Lakeshore,AC,"Carlson,E 1",Kiantone,Medina
0,Cattaraugus,Perkins & Perkins Oil Co. Inc.,63895,00,00,OD,Four Mile,AC,Geise 3,Allegany,Bradford Third
0,Allegany,J and R Oil Company,63593,00,00,OD,Scio,IN,Harris - 08,Ward,Scio
0,Allegany,J and R Oil Company,63593,00,00,OD,Scio,IN,Harris - 08,Ward,Scio
0,Cattaraugus,Cal Ban Corp.,19106,00,00,OD,Five Mile,NR,Cal Ban Cb24,Allegany,"Chipmunk, Bradford 2nd & 3rd"
0,Cattaraugus,"Empire Energy E & P, LLC",23243,00,00,Oil,Lakeshore,AC,Tussing 1,New Albion,Medina
0,Cattaraugus,AC Oil LLC,22662,00,00,OD,Bradford,AC,Bucher w9,Carrollton,"Chipmunk, Bradford 1st,2nd,3rd"
0,Cattaraugus,"Peck, Horace G. Jr. & Ellen M.",63978,00,00,OD,Four Mile,PA,Lucco No 3-U,Allegany,Bradford Third
0,Cattaraugus,Hidden Heart Stables LLC,69104,00,00,OD,Four Mile,PA,Carls 14,Allegany,Bradford
0,Cattaraugus,"East Resources, Inc.",12803,00,00,OD,Bradford,PA,Enterprise Transit St 10,Allegany,"Chipmunk, Bradford 2nd & 3rd"
0,Erie,"Stedman Energy, Inc.",16212,00,00,Oil,Brant-Eden,AC,Distefano 1,Eden,Grimsby
0,Cattaraugus,SWEPI LP,12561,00,00,OD,Bradford,PA,Enterprise Transit St 110,Allegany,"Chipmunk, Bradford 2nd & 3rd"
